PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
37189,Harold Varner III,2022 Fortinet Championship,66.51,1.52,305.8,54.61,69.99,60.82,0.43,28.58
27214,Kevin Streelman,2022 Fortinet Championship,66.48,1.45,295.8,69.48,70.2,64.41,0.39,28.73
52375,Doug Ghim,2022 Fortinet Championship,66.47,1.21,295.6,64.22,70.65,60.95,0.5,29.31
48822,Sebastián Muñoz,2022 Fortinet Championship,66.47,1.33,303.7,62.05,70.19,60.28,0.67,29.27
51634,Sahith Theegala,2022 Fortinet Championship,66.47,1.52,304.3,54.04,70.01,63.05,0.41,28.79
32366,Kevin Chappell,2022 Fortinet Championship,66.46,1.16,310.1,51.76,71.13,51.2,0.49,29.22
26851,Marc Leishman,2022 Fortinet Championship,66.36,1.45,307.1,55.94,70.11,61.24,0.51,28.68
47856,Seth Reeves,2022 Fortinet Championship,66.33,1.24,309.4,59.94,71.07,53.94,0.49,29.22
35532,Tom Hoge,2022 Fortinet Championship,66.32,1.53,298.1,61.56,69.94,64.26,0.55,28.64
27649,Brandt Snedeker,2022 Fortinet Championship,66.2,1.11,287.1,62.15,71.07,57.1,0.53,29.42
